algoritmo,capacidade_memoria,threads,cores,threads_usados,qtd_sequencias,total_sequencias,size_arquivos,media_tamanho_sequencias,formato_arvore,tempo_execucao
clustalw,134743715840,24,16,23,100,3800,3636527,815.2882000000001,nexus,79.03138074203162
clustalw,134743715840,24,16,23,100,3800,3549588,793.0039,newick,74.03634533897275
clustalw,134743715840,24,16,22,100,3800,3636042,814.9719,newick,80.82259179803077
clustalw,134743715840,24,16,22,99,3762,3477675,783.4355555555555,nexus,73.4888373670401
clustalw,134743715840,24,16,22,100,3800,3561386,795.6871000000001,newick,76.0222258050344
clustalw,134743715840,24,16,22,80,3040,2881046,805.44375,nexus,59.66685842600418
clustalw,134743715840,24,16,22,83,3154,2955086,794.6045783132529,newick,61.96375302603701
clustalw,134743715840,24,16,21,100,3800,3572905,798.1179,nexus,83.02851729199756
clustalw,134743715840,24,16,21,100,3800,3705973,833.4869,newick,89.32394168403698
clustalw,134743715840,24,16,21,34,1292,1243265,821.834705882353,newick,30.209772103000432
clustalw,134743715840,24,16,20,24,912,850902,792.5383333333333,nexus,23.44143594399793
clustalw,134743715840,24,16,20,3,114,88495,639.1666666666666,nexus,5.061528519028798
clustalw,134743715840,24,16,20,7,266,260517,834.3542857142858,nexus,9.435494778037537
clustalw,134743715840,24,16,20,18,684,638198,793.6411111111111,nexus,15.839593459037133
clustalw,134743715840,24,16,20,12,456,395341,725.4558333333333,newick,11.25545975600835
clustalw,134743715840,24,16,20,58,2204,2154141,833.0360344827585,nexus,51.189027815999
clustalw,134743715840,24,16,20,22,836,795829,810.9272727272728,nexus,22.194164521992207
clustalw,134743715840,24,16,20,19,722,745278,887.888947368421,nexus,22.276077250018716
clustalw,134743715840,24,16,20,13,494,414935,697.8238461538463,nexus,15.031214302987792
clustalw,134743715840,24,16,2,24,912,893205,836.4475000000001,nexus,72.61130257003242
clustalw,134743715840,24,16,2,24,912,869006,811.3583333333332,newick,146.40000453597168
clustalw,134743715840,24,16,19,16,608,564815,785.8175,nexus,14.913682449026965
clustalw,134743715840,24,16,18,78,2964,2772923,794.1544871794872,newick,70.11189813003875
clustalw,134743715840,24,16,18,100,3800,3626672,812.5682,newick,94.27548541501164
clustalw,134743715840,24,16,17,45,1710,1618114,804.8635555555555,nexus,44.99728123296518
clustalw,134743715840,24,16,17,100,3800,3637905,814.3299000000001,nexus,101.23466253501829
clustalw,134743715840,24,16,17,15,570,544357,813.7433333333333,nexus,18.153601708996575
clustalw,134743715840,24,16,17,12,456,458882,860.7983333333333,nexus,17.170773096964695
clustalw,134743715840,24,16,16,63,2394,2314737,825.9392063492063,nexus,73.94980399799533
clustalw,134743715840,24,16,16,19,722,680337,800.6147368421052,newick,23.102446116972715
clustalw,134743715840,24,16,16,51,1938,1802244,789.8000000000001,nexus,64.28003175498452
clustalw,134743715840,24,16,16,6,228,227154,853.8149999999999,newick,11.986650381993968
clustalw,134743715840,24,16,16,22,836,786343,797.6490909090909,nexus,29.73815236298833
clustalw,134743715840,24,16,15,100,3800,3610851,808.1228,nexus,123.19936112198047
clustalw,134743715840,24,16,15,32,1216,1219447,859.4059375,newick,49.37040132202674
clustalw,134743715840,24,16,14,100,3800,3532066,788.0769,nexus,114.84002041397616
clustalw,134743715840,24,16,14,100,3800,3565265,796.9396,newick,116.43999174109194
clustalw,134743715840,24,16,14,43,1634,1554723,809.5151162790698,nexus,51.84543906094041
clustalw,134743715840,24,16,14,5,190,199036,903.51,nexus,14.305776012013666
clustalw,134743715840,24,16,14,100,3800,3509834,782.9619,nexus,115.37759415793698
clustalw,134743715840,24,16,7,100,3800,3552356,793.3903999999999,nexus,153.94142321893014
clustalw,134743715840,24,16,7,39,1482,1419298,815.87,nexus,67.02131687290967
clustalw,134743715840,24,16,7,40,1520,1525987,860.9012500000001,newick,71.84976122004446
clustalw,134743715840,24,16,13,98,3724,3543310,809.7496938775511,newick,142.75374781305436
clustalw,134743715840,24,16,11,62,2356,2329743,847.1035483870968,newick,67.52992674708366
clustalw,134743715840,24,16,10,58,2204,2130575,823.5137931034483,newick,82.52065016003326
clustalw,134743715840,24,16,8,4,152,136571,759.5,nexus,11.760366401053034
clustalw,134743715840,24,16,8,12,456,402319,742.0391666666666,nexus,27.635754622984678
clustalw,134743715840,24,16,8,16,608,577439,804.6275,newick,45.3636149619706
clustalw,134743715840,24,16,7,90,3420,3193461,791.3117777777777,newick,198.87795120291412
clustalw,134743715840,24,16,7,33,1254,1218488,829.9039393939395,nexus,72.71301958803087
